k;d;avg;% of mispr
77;4;34.769974;0.217032
77;5;35.615944;0.185985
77;6;36.102084;0.162724
77;7;37.492066;0.144699
77;8;39.925566;0.130269
77;9;42.273714;0.118618
77;10;38.559806;0.108525
78;0;31.098706;0.642887
78;1;31.918108;0.428328
78;2;32.822158;0.321297
78;3;34.024082;0.257218
78;4;34.650398;0.214182
78;5;35.306988;0.183585
78;6;36.067766;0.160687
78;7;38.097878;0.142844
78;8;40.199394;0.128569
78;9;42.860562;0.116881
78;10;38.718954;0.107116
79;0;31.3268;0.634487
79;1;31.428728;0.422894
79;2;32.701724;0.317072
79;3;33.570114;0.253758
79;4;34.259898;0.211515
79;5;35.87107;0.181285
79;6;35.591022;0.158674
79;7;38.139818;0.140999
79;8;40.1853;0.126959
79;9;43.215068;0.115345
79;10;37.809502;0.105791
80;0;30.494124;0.626687
80;1;32.069452;0.417594
80;2;32.670512;0.313122
80;3;33.858308;0.250598
80;4;34.768786;0.208849
80;5;35.788592;0.178985
80;6;36.049234;0.156649
80;7;38.201092;0.139255
80;8;40.633096;0.125379
80;9;43.403286;0.113981
80;10;38.618332;0.104516
81;0;30.793224;0.618588
81;1;31.370016;0.412495
81;2;32.626312;0.309272
81;3;34.195648;0.247678
81;4;34.678718;0.206249
81;5;35.841936;0.176785
81;6;35.952084;0.154724
81;7;37.750988;0.137566
81;8;39.980446;0.12376
81;9;42.924492;0.112527
81;10;38.564212;0.103158
82;0;30.781112;0.611088
82;1;32.026068;0.414194
82;2;32.69297;0.305647
82;3;34.071486;0.244538
82;4;34.713148;0.203749
82;5;35.85839;0.17467
82;6;35.990904;0.152837
82;7;38.032812;0.135933
82;8;40.248578;0.12232
82;9;42.448708;0.111181
82;10;38.48772;0.101975
83;0;30.997964;0.603738
83;1;31.95092;0.402428
83;2;32.763796;0.301847
83;3;33.580946;0.241578
83;4;34.39659;0.201365
83;5;35.822314;0.172699
83;6;36.010552;0.151062
83;7;38.078626;0.134211
83;8;39.582328;0.12081
83;9;42.874442;0.109827
83;10;38.540862;0.100725
84;0;30.967032;0.596488
84;1;32.205302;0.398061
84;2;32.68743;0.298422
84;3;34.053812;0.238718
84;4;34.732748;0.198915
84;5;36.00801;0.170542
84;6;35.996486;0.149237
84;7;37.906856;0.132688
84;8;40.514376;0.11938
84;9;42.320648;0.108636
84;10;38.899134;0.09955
85;0;31.13711;0.589388
85;1;31.92805;0.392961
85;2;32.674248;0.294797
85;3;34.185386;0.235898
85;4;34.63662;0.196582
85;5;35.587974;0.168585
85;6;35.479004;0.147449
85;7;38.207364;0.131099
85;8;40.976968;0.11804
85;9;43.145674;0.107327
85;10;38.13284;0.098316
86;0;31.089252;0.582788
86;1;31.868644;0.388495
86;2;32.736972;0.291372
86;3;34.045502;0.233158
86;4;34.550994;0.194349
86;5;35.756908;0.16657
86;6;35.936134;0.145762
86;7;37.91128;0.129622
86;8;40.09834;0.1167
86;9;42.77848;0.106027
86;10;38.476818;0.097183
87;0;31.165214;0.576588
87;1;31.59052;0.384062
87;2;32.497922;0.288572
87;3;33.830372;0.230458
87;4;34.645936;0.191982
87;5;35.725798;0.164628
87;6;35.930206;0.144087
87;7;38.074682;0.128111
87;8;41.105192;0.11526
87;9;42.421424;0.104827
87;10;38.338442;0.0961
88;0;31.415972;0.569289
88;1;32.057104;0.379628
88;2;32.976256;0.284672
88;3;33.988206;0.227798
88;4;34.68553;0.189832
88;5;35.772958;0.16287
88;6;35.402472;0.142437
88;7;38.171426;0.126655
88;8;40.631644;0.11396
88;9;42.955644;0.103636
88;10;38.061394;0.094975
89;0;30.832336;0.563739
89;1;31.807836;0.375328
89;2;32.603804;0.281522
89;3;33.826488;0.225318
89;4;33.93128;0.187699
