k;d;avg;% of mispr
62;6;49.809912;0.199991
62;7;52.528862;0.177664
62;8;51.800368;0.159592
62;9;54.322241;0.297038
62;10;56.320326;0.29253
63;0;39.545742;0.789816
63;1;40.531456;0.525097
63;2;42.752868;0.39329
63;3;42.165186;0.314441
63;4;45.673427;0.261915
63;5;46.529915;0.224471
63;6;49.777808;0.196754
63;7;52.477429;0.174997
63;8;51.81563;0.157213
63;9;54.636529;0.305141
63;10;56.762883;0.382276
64;0;40.195795;0.777306
64;1;40.592828;0.517073
64;2;42.9033;0.387254
64;3;42.296895;0.309584
64;4;45.597398;0.258462
64;5;46.505474;0.221219
64;6;49.861824;0.193653
64;7;52.377245;0.17249
64;8;51.920748;0.154716
64;9;55.193949;0.414061
64;10;56.641422;0.377761
65;0;40.082281;0.766139
65;1;40.580357;0.509067
65;2;42.605949;0.381367
65;3;42.051396;0.304941
65;4;45.648821;0.254041
65;5;46.484432;0.217613
65;6;48.350018;0.190783
65;7;52.409777;0.169648
65;8;51.846928;0.152541
65;9;54.345504;0.407847
65;10;56.835776;0.370843
66;0;40.13442;0.754116
66;1;40.51673;0.501489
66;2;42.693139;0.375673
66;3;42.39044;0.301227
66;4;45.65491;0.250154
66;5;46.489489;0.214412
66;6;48.411986;0.187623
66;7;52.478362;0.166886
66;8;48.176483;0.15016
66;9;54.810059;0.355444
66;10;56.206372;0.287377
67;0;40.210224;0.743187
67;1;40.136474;0.494423
67;2;42.817269;0.370125
67;3;42.390168;0.295901
67;4;45.553845;0.246497
67;5;46.550958;0.211223
67;6;48.856578;0.184881
67;7;52.353403;0.164681
67;8;51.707428;0.148166
67;9;48.24702;0.396049
67;10;56.227792;0.285206
68;0;40.185979;0.732449
68;1;40.637446;0.487047
68;2;39.109415;0.364819
68;3;40.823624;0.291729
68;4;45.633769;0.243017
68;5;46.497645;0.208215
68;6;49.737374;0.182472
68;7;52.370022;0.162279
68;8;51.746953;0.145951
68;9;54.33131;0.26909
68;10;54.5458;0.355522
69;0;40.137093;0.721601
69;1;40.540905;0.480121
69;2;42.871989;0.359711
69;3;42.295649;0.28813
69;4;45.575332;0.239505
69;5;46.51456;0.205289
69;6;49.346403;0.179635
69;7;51.730435;0.160644
69;8;51.781399;0.143885
69;9;54.166105;0.279612
69;10;55.630794;0.350251
70;0;40.083169;0.711547
70;1;40.570355;0.473216
70;2;42.644685;0.354494
70;3;42.127677;0.283434
70;4;45.670058;0.236086
70;5;46.451205;0.202362
70;6;49.787199;0.177187
70;7;52.342198;0.157948
70;8;51.780842;0.141981
70;9;54.670436;0.363818
70;10;55.857416;0.23906
71;0;40.136246;0.70139
71;1;40.473497;0.466575
71;2;42.662278;0.349907
71;3;42.215124;0.279545
71;4;45.499269;0.23288
71;5;46.379161;0.199573
71;6;48.478253;0.174811
71;7;52.329769;0.155556
71;8;51.781147;0.139759
71;9;51.62749;0.374365
71;10;56.320466;0.340589
72;0;40.153662;0.691827
72;1;39.026905;0.46026
72;2;36.074732;0.345001
72;3;42.143837;0.275652
72;4;45.584079;0.229691
72;5;46.23605;0.196979
72;6;49.690811;0.172318
72;7;52.404919;0.153197
72;8;51.915695;0.137762
72;9;54.683337;0.369283
72;10;56.389856;0.316838
73;0;33.412788;0.682258
73;1;40.457485;0.454014
73;2;41.627077;0.340469
73;3;42.128662;0.271915
73;4;45.534826;0.226511
73;5;46.34438;0.194146
73;6;49.318706;0.169973
73;7;52.372432;0.151309
73;8;51.813589;0.136068
73;9;54.334995;0.267131
73;10;56.324408;0.267299
74;0;39.846241;0.673282
74;1;40.42362;0.447921
74;2;42.577996;0.335543
74;3;41.618388;0.268413
74;4;45.637275;0.223579
74;5;46.3996;0.191536
74;6;49.426527;0.167909
74;7;52.357115;0.149338
74;8;48.957569;0.134317
74;9;52.139089;0.247927
74;10;52.266018;0.295352
75;0;39.394376;0.664254
75;1;40.544182;0.442125
75;2;42.55418;0.331108
75;3;42.118424;0.26485
75;4;45.567574;0.220579
75;5;46.55633;0.189121
75;6;49.127369;0.165418
75;7;52.310841;0.147344
75;8;51.759393;0.132373
75;9;54.224044;0.238567
75;10;56.585894;0.323267
76;0;40.253847;0.655669
76;1;40.401284;0.436264
76;2;42.583799;0.326794
76;3;42.176059;0.261364
76;4;45.581053;0.217758
76;5;46.388304;0.186579
76;6;49.677424;0.163243
76;7;52.318439;0.145598
76;8;51.547897;0.130845
76;9;54.475217;0.310254
76;10;56.318077;0.319934
77;0;33.57948;0.647496
77;1;40.424969;0.430727
77;2;42.509933;0.322651
77;3;42.090839;0.258034
77;4;45.732127;0.21497
77;5;46.271545;0.184427
77;6;49.508103;0.161191
77;7;52.391587;0.143848
77;8;51.617899;0.129252
77;9;54.288707;0.238709
77;10;55.723382;0.21684
78;0;40.050069;0.63963
78;1;40.39852;0.42519
78;2;42.495686;0.318531
78;3;42.12048;0.254802
78;4;45.604409;0.212196
78;5;46.394573;0.181912
78;6;49.399037;0.15955
78;7;52.499195;0.141623
78;8;48.329668;0.1284
78;9;53.481496;0.257543
78;10;55.754148;0.21452
79;0;40.081268;0.631136
79;1;33.926292;0.419987
79;2;42.67134;0.314607
79;3;42.17843;0.251528
79;4;45.600261;0.209639
79;5;46.40267;0.179705
79;6;49.609647;0.157465
79;7;51.981785;0.140184
79;8;50.240134;0.125923
79;9;50.855658;0.337365
79;10;56.280846;0.307629
80;0;40.078714;0.623635
80;1;36.113666;0.414833
80;2;42.532004;0.310731
80;3;41.910688;0.248684
80;4;45.604605;0.206958
80;5;44.252273;0.177397
80;6;49.637067;0.155343
80;7;52.284972;0.138306
80;8;51.586976;0.124292
80;9;54.026397;0.229198
80;10;55.73692;0.222116
81;0;40.136781;0.615533
81;1;40.347381;0.409652
81;2;42.685297;0.307225
81;3;42.084509;0.24551
81;4;45.605094;0.20446
81;5;46.393927;0.175458
81;6;48.096267;0.153582
81;7;52.3482;0.136604
81;8;51.292112;0.122784
81;9;54.063074;0.221282
81;10;55.832545;0.242155
82;0;40.025715;0.608323
82;1;40.599274;0.404898
82;2;42.585266;0.303221
82;3;40.573533;0.242411
82;4;38.932732;0.201978
82;5;46.223256;0.1733
82;6;49.578344;0.151771
82;7;50.880841;0.13569
82;8;51.637785;0.121277
